Species	Status	min_age	max_age
Naria_erosa	extant	5.333	11.63
Erosaria_(Erosaria)_pliostaphylaea	extinct	2.58	3.6
Erosaria_(Erosaria)_pliostaphylaea	extinct	2.58	3.6
Erronea_(Adusta)_ijzermani	extinct	11.63	15.98
Pustularia_kamai	extinct	11.63	15.98
Pustularia_kamai	extinct	11.63	15.98
Erronea_(Adusta)_jungens	extinct	2.58	3.6
Erronea_(Adusta)_proxima	extinct	11.63	15.98
Erronea_(Adusta)_rembangensis	extinct	11.63	15.98
Erronea_(Adusta)_sondeiana	extinct	11.63	15.98
Erronea_(Adusta)_semicostata	extinct	2.58	3.6
Erronea_(Adusta)_sondeiana	extinct	2.58	3.6
Erronea_(Adusta)_sondeiana	extinct	2.58	3.6
Erronea_(Cribraria)_cincta	extinct	11.63	15.98
Notadusta_egregia	extinct	11.63	15.98
Notadusta_spolongensis	extinct	11.63	15.98
Palmadusta_(Palmadusta)_modjokertensis	extinct	2.58	3.6
Pustularia_lodanensis	extinct	11.63	15.98
Erosaria_everwijni	extinct	11.63	15.98
Erosaria_everwijni	extinct	11.63	15.98
Staphylaea_(Nuclearia)_soloensis	extinct	2.58	3.6
Afrozoila_kendengensis	extinct	2.58	3.6
Cypraea_(Staphylaea)_nucleus	extant	11.63	15.98
Cypraea_(Aricia)_beberkiriana	extinct	5.333	11.63
Cypraea	extinct	11.63	15.98
Cypraea	extinct	5.333	7.246
Notoluponia_pyrulata	extinct	15.98	23.04
Lyncina_(Austrocypraea)_archeri	extinct	15.98	23.04
Zoila_gigas	extinct	15.98	23.04
Lyncina_(Austrocypraea)_scalena	extinct	15.98	23.04
Zoila_platypyga	extinct	15.98	23.04
Cypraea	extinct	15.98	23.04
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	11.63
Umbilia_(Umbilia)_platyrhyncha	extinct	23.04	27.03
Zoila	extinct	15.98	27.03
Austrocypraea_contusa	extinct	15.98	27.03
Umbilia_(Umbilia)_leptorhyncha	extinct	15.98	27.03
Zoila_gigas	extinct	15.98	27.03
Notadusta_victoriana	extinct	15.98	23.04
Zoila_mulderi	extinct	15.98	23.04
Zoila_mulderi	extinct	15.98	23.04
Zoila_gigas	extinct	15.98	23.04
Umbilia_(Palliocypraea)_gastroplax	extinct	15.98	23.04
Umbilia_(Umbilia)_eximia	extinct	15.98	23.04
Zoila_platypyga	extinct	11.63	15.98
Umbilia_(Umbilia)_leptorhyncha	extinct	11.63	15.98
Notadusta_victoriana	extinct	11.63	15.98
Umbilia_(Palliocypraea)_gastroplax	extinct	11.63	15.98
Umbilia_(Umbilia)_eximia	extinct	11.63	15.98
Zoila_platypyga	extinct	11.63	15.98
Umbilia_(Umbilia)_hesitata	extant	11.63	15.98
Zoila_gigas	extinct	11.63	15.98
Austrocypraea_contusa	extinct	11.63	15.98
Zonaria_porcellus	extinct	3.6	5.333
Afrozoila_schilderi	extinct	15.98	23.04
Stolida_(Cribraria)_quilonensis	extinct	15.98	23.04
Zonaria_simonnei	extinct	15.98	23.04
Zonaria_travancorica	extinct	15.98	23.04
