clade	species	ts	te
0.0	Calusacypraea_tequesta	4.348283854966208	1.6630697506335617
0.0	Chelycypraea_(Miolyncina)_subovum	18.7389492698166	16.239722202399882
0.0	Cribrarula_cribraria	6.428008338681543	0.0
0.0	Cribrarula_gaskoini	0.9865428958724473	0.0
0.0	Cypraea	72.92768512319724	7.178609130146786e-05
0.0	Cypraea_(Aricia)_beberkiriana	7.816388292758207	6.049644301725984
0.0	Cypraea_(Aricia)_simplicissima	16.14693526163841	14.583336474065453
0.0	Cypraea_(Cypraea)	4.714016647994177	3.209587903751557
0.0	Cypraea_(Cypraeorbis)_heilprinii	18.45773375990075	16.63302432605537
0.0	Cypraea_(Erosaria)_caputserpentis	5.449322107912089	0.0
0.0	Cypraea_(Erosaria)_guttata	3.235783421427888	0.0
