Species	Status
Palaeocypraea_(Pustulariopsis)_pustulifera	extinct
Palaeocypraea_eripnides	extinct
Palaeocypraea_fontana	extinct
Palaeocypraea_grooti	extinct
Palaeocypraea_nuciformis	extinct
Palaeocypraea_spirata	extinct
Palaeocypraea_squyeri	extinct
Palaeocypraea_suciensis	extinct
Palaeocypraea_suecica	extinct
Palaeocypraea_wilfredi	extinct
Palmadusta_(Palmadusta)_modjokertensis	extinct
Palmadusta_clandestina	extant
Pedicularia	extinct
Pedicularia_(Pedicularia)	extinct
Pedicularia_deshayesiana	extinct
Pedicularia_navakaensis	extinct
Pedicularia_pacifica	extant
Plaziatia_amandula	extinct
Plaziatia_estotiensis	extinct
Plaziatia_parasigmapertura	extinct
Plaziatia_subglobosa	extinct
Praerosaria_amoenacea	extinct
Praerosaria_biacuta	extinct
Praerosaria_charlenae	extinct
Praerosaria_espibosensis	extinct
Praerosaria_exflaveola	extinct
Praerosaria_herosae	extinct
Praerosaria_paulonaria	extinct
Praerosaria_perlacea	extinct
Praerosaria_pseudorugosa	extinct
Praerosaria_tabulata	extinct
Proadusta	extinct
Proadusta_bitruncata	extinct
Proadusta_camiadorum	extinct
Proadusta_distorta	extinct
Proadusta_elliptica	extinct
Proadusta_gemmosa	extinct
Proadusta_inaequilabiata	extinct
Proadusta_parvissima	extinct
Proadusta_parvitala	extinct
Proadusta_rostralina	extinct
Proadusta_truncata	extinct
Propustularia	extinct
Propustularia_bartschi	extinct
Propustularia_caribaea	extinct
Propustularia_gurabonis	extinct
Propustularia_kemperae	extinct
Propustularia_longidentata	extinct
Propustularia_paraguanensis	extinct
Propustularia_parisimina	extinct
Protocypraea	extinct
Protocypraea_riachuelana	extinct
Protocypraea_simiensis	extinct
Protoponda_vinassai	extinct
Prozonarina_barcamorpha	extinct
Prozonarina_brocchii	extinct
Prozonarina_expansa	extinct
Prozonarina_fabagina	extinct
Prozonarina_haueriana	extinct
Prozonarina_maxima	extinct
Prozonarina_regalis	extinct
Pseudadusta_hertweckorum	extinct
Pseudadusta_kalafuti	extinct
Pseudadusta_ketteri	extinct
Pseudadusta_lindae	extinct
Pseudadusta_marilynae	extinct
Pseudozonaria_annettae	extant
Pseudozonaria_arabicula	extant
Pseudozonaria_cathyae	extinct
Pseudozonaria_falconensis	extinct
Pseudozonaria_fehsei	extinct
Pseudozonaria_frassinettii	extinct
Pseudozonaria_nigropunctata	extant
Pseudozonaria_portelli	extant
Pseudozonaria_praeaequinoctialis	extinct
Pseudozonaria_primarobertsi	extinct
Pseudozonaria_raymondrobertsi	extinct
Pseudozonaria_telembiensis	extinct
Purpuradusta_gracilis	extant
Purpuradusta_microdon	extant
Pustularia_(Pustularia)_americana	extinct
Pustularia_cicercula	extant
Pustularia_globulus	extant
Pustularia_kamai	extinct
Pustularia_lodanensis	extinct
Pustularia_margarita	extinct
Ransonia_coseli	extinct
Ransonia_faviai	extinct
Ransonia_ferruginosa	extinct
Ransonia_gofasi	extinct
Ransonia_senuti	extinct
Ransonia_tarbelliana	extinct
Schilderia_amygdalum	extinct
Schilderia_andegavensis	extinct
Schilderia_brebioni	extinct
Schilderia_columbaria	extinct
Schilderia_decorticata	extinct
Schilderia_fasciolaria	extinct
Schilderia_flavicula	extinct
Schilderia_garonettii	extinct
Schilderia_incognita	extinct
Schilderia_lauriatae	extinct
Schilderia_longiscata	extinct
Schilderia_plioamygdalum	extinct
Schilderia_pseudamygdalum	extinct
Schilderia_semidenticulata	extinct
Schilderia_subannularia	extinct
Schilderia_taurovalis	extinct
Schilderia_utricolata	extinct
Schilderia_veronicata	extinct
Semicypraea_koninckii	extinct
Siphocypraea	extinct
Siphocypraea_(Okeechobea)_brantleyi	extinct
Siphocypraea_(Pahayokea)_alligator	extinct
Siphocypraea_(Pahayokea)_aspenae	extinct
Siphocypraea_(Pahayokea)_basingerensis	extinct
Siphocypraea_(Pahayokea)_erici	extinct
Siphocypraea_(Pahayokea)_gabrielleae	extinct
Siphocypraea_(Pahayokea)_josiai	extinct
Siphocypraea_(Pahayokea)_kissimmeensis	extinct
Siphocypraea_(Pahayokea)_mansfieldi	extinct
Siphocypraea_(Pahayokea)_parodizi	extinct
Siphocypraea_(Pahayokea)_penningtonorum	extinct
Siphocypraea_(Pahayokea)_rucksorum	extinct
Siphocypraea_almirantensis	extinct
Siphocypraea_amandusi	extinct
Siphocypraea_cannoni	extinct
Siphocypraea_dimasi	extinct
Siphocypraea_duerri	extinct
Siphocypraea_griffini	extinct
Siphocypraea_grovesi	extinct
Siphocypraea_macrovoluta	extinct
Siphocypraea_merriami	extinct
Siphocypraea_metae	extinct
Siphocypraea_mulepenensis	extinct
Siphocypraea_pennai	extinct
Siphocypraea_philemoni	extinct
Siphocypraea_posei	extinct
Siphocypraea_problematica	extinct
Siphocypraea_transitoria	extinct
Siphocypraea_trippeana	extinct
Staphylaea_(Nuclearia)_soloensis	extinct
Staphylaea_(Staphylaea)_staphylaea	extant
Staphylaea_limacina	extinct
Stolida_(Cribraria)_quilonensis	extinct
Subepona_antiqua	extinct
Subepona_goedertorum	extinct
Subepona_herrerensis	extinct
Subepona_leahae	extinct
Subepona_promeces	extinct
Talostolida_teres	extant
Talparia_(Arestorides)_nahaensis	extinct
Talparia_(Talparia)_mariaelisabethae	extinct
Talparia_talpa	extant
Trona_apenninensis	extinct
Trona_carcarensis	extinct
Trona_ingrami	extinct
Trona_leporina	extinct
Trona_lyncoides	extinct
Trona_stercoraria	extant
Trona_subporcellus	extinct
Trona_trinitatensis	extinct
Umbilia_(Palliocypraea)_gastroplax	extinct
Umbilia_(Umbilia)_angustior	extinct
Umbilia_(Umbilia)_eximia	extinct
Umbilia_(Umbilia)_hesitata	extant
Umbilia_(Umbilia)_leptorhyncha	extinct
Umbilia_(Umbilia)_platyrhyncha	extinct
Umbilia_(Umbilia)_prosila	extinct
Umbilia_(Umbilia)_siphonata	extinct
Umbilia_caepa	extinct
Umbilia_furneauxensis	extinct
Vicetia_bizzottoi	extinct
Vicetia_sowerbyi	extinct
Vicetia_vredenburgi	extinct
Zoila	extinct
Zoila_campestris	extinct
Zoila_chathamensis	extinct
Zoila_didymorhyncha	extinct
Zoila_dolichorhyncha	extinct
Zoila_fodinata	extinct
Zoila_gigas	extinct
Zoila_glomerabilis	extinct
Zoila_mulderi	extinct
Zoila_platypyga	extinct
Zoila_viathomsoni	extinct
Zonaria	extinct
Zonaria_(Pseudozonaria)_cathyae	extinct
Zonaria_(Zonaria)_pittorum	extinct
Zonaria_(Zonaria)_pyrum	extant
Zonaria_dertamygdaloides	extinct
Zonaria_dujardini	extinct
Zonaria_globosa	extinct
Zonaria_heilprinii	extinct
Zonaria_pingata	extinct
Zonaria_porcellus	extinct
Zonaria_praelatior	extinct
Zonaria_pseudotumulus	extinct
Zonaria_shirleyae	extinct
Zonaria_simonnei	extinct
Zonaria_spurcoides	extinct
Zonaria_theresae	extinct
Zonaria_travancorica	extinct
Zonaria_tumulus	extinct
Zonaria_zonata	extant
Zonarina_abbessensis	extinct
Zonarina_annularia	extinct
Zonarina_aturensis	extinct
Zonarina_brogniarti	extinct
Zonarina_exglobosa	extinct
Zonarina_haueri	extinct
Zonarina_liviae	extinct
Zonarina_maynotensis	extinct
Zonarina_pinguis	extinct
Zonarina_provincialis	extinct
Zonarina_subelongata	extinct
