time	diversity	m_div	M_div
20.125580969096315	81.0	81.0	81.0
20.22570823759928	79.0	79.0	79.0
20.325835506102248	80.0	80.0	80.0
20.425962774605214	78.0	78.0	78.0
20.526090043108184	78.0	78.0	78.0
20.62621731161115	77.0	77.0	77.0
20.726344580114116	77.0	77.0	77.0
20.826471848617082	74.0	74.0	74.0
20.92659911712005	71.0	71.0	71.0
21.026726385623014	70.0	70.0	70.0
21.126853654125984	69.0	69.0	69.0
21.22698092262895	70.0	70.0	70.0
21.327108191131916	71.0	71.0	71.0
21.427235459634883	69.0	69.0	69.0
21.52736272813785	69.0	69.0	69.0
21.627489996640815	68.0	68.0	68.0
21.727617265143785	67.0	67.0	67.0
21.82774453364675	67.0	67.0	67.0
21.927871802149717	65.0	65.0	65.0
22.027999070652683	65.0	65.0	65.0
22.12812633915565	65.0	65.0	65.0
22.228253607658615	65.0	65.0	65.0
22.328380876161585	65.0	65.0	65.0
22.42850814466455	65.0	65.0	65.0
22.528635413167517	65.0	65.0	65.0
22.628762681670484	63.0	63.0	63.0
22.72888995017345	62.0	62.0	62.0
22.829017218676416	61.0	61.0	61.0
22.929144487179386	61.0	61.0	61.0
23.029271755682352	63.0	63.0	63.0
23.129399024185318	63.0	63.0	63.0
23.229526292688284	62.0	62.0	62.0
23.32965356119125	63.0	63.0	63.0
23.429780829694216	63.0	63.0	63.0
23.529908098197186	63.0	63.0	63.0
23.630035366700152	62.0	62.0	62.0
23.73016263520312	61.0	61.0	61.0
23.830289903706085	59.0	59.0	59.0
23.93041717220905	59.0	59.0	59.0
24.030544440712017	60.0	60.0	60.0
24.130671709214987	61.0	61.0	61.0
24.230798977717953	60.0	60.0	60.0
24.33092624622092	60.0	60.0	60.0
24.431053514723885	59.0	59.0	59.0
24.53118078322685	57.0	57.0	57.0
24.631308051729818	56.0	56.0	56.0
24.731435320232787	57.0	57.0	57.0
24.831562588735753	55.0	55.0	55.0
24.93168985723872	56.0	56.0	56.0
25.031817125741686	55.0	55.0	55.0
25.131944394244652	55.0	55.0	55.0
25.232071662747618	53.0	53.0	53.0
25.332198931250588	52.0	52.0	52.0
25.432326199753554	49.0	49.0	49.0
25.53245346825652	49.0	49.0	49.0
25.632580736759486	51.0	51.0	51.0
25.732708005262452	52.0	52.0	52.0
25.83283527376542	51.0	51.0	51.0
25.932962542268385	50.0	50.0	50.0
26.033089810771354	50.0	50.0	50.0
26.13321707927432	48.0	48.0	48.0
26.233344347777287	47.0	47.0	47.0
26.333471616280253	46.0	46.0	46.0
26.43359888478322	45.0	45.0	45.0
26.533726153286185	43.0	43.0	43.0
26.633853421789155	44.0	44.0	44.0
26.73398069029212	43.0	43.0	43.0
26.834107958795087	43.0	43.0	43.0
26.934235227298053	40.0	40.0	40.0
27.03436249580102	40.0	40.0	40.0
27.134489764303986	37.0	37.0	37.0
27.234617032806955	36.0	36.0	36.0
27.33474430130992	35.0	35.0	35.0
27.434871569812888	34.0	34.0	34.0
27.534998838315854	34.0	34.0	34.0
27.63512610681882	33.0	33.0	33.0
27.735253375321786	34.0	34.0	34.0
27.835380643824756	34.0	34.0	34.0
27.935507912327722	35.0	35.0	35.0
28.03563518083069	35.0	35.0	35.0
28.135762449333654	33.0	33.0	33.0
28.23588971783662	31.0	31.0	31.0
28.336016986339587	31.0	31.0	31.0
28.436144254842556	32.0	32.0	32.0
28.536271523345523	30.0	30.0	30.0
28.63639879184849	31.0	31.0	31.0
28.736526060351455	31.0	31.0	31.0
28.83665332885442	31.0	31.0	31.0
28.936780597357387	30.0	30.0	30.0
29.036907865860357	30.0	30.0	30.0
29.137035134363323	30.0	30.0	30.0
29.23716240286629	29.0	29.0	29.0
29.337289671369255	28.0	28.0	28.0
29.43741693987222	28.0	28.0	28.0
29.537544208375188	27.0	27.0	27.0
29.637671476878158	26.0	26.0	26.0
29.737798745381124	26.0	26.0	26.0
29.83792601388409	28.0	28.0	28.0
29.938053282387056	30.0	30.0	30.0
30.038180550890022	29.0	29.0	29.0
30.13830781939299	28.0	28.0	28.0
30.238435087895958	27.0	27.0	27.0
30.338562356398924	27.0	27.0	27.0
30.43868962490189	27.0	27.0	27.0
30.538816893404857	26.0	26.0	26.0
30.638944161907823	26.0	26.0	26.0
30.73907143041079	26.0	26.0	26.0
30.83919869891376	28.0	28.0	28.0
30.939325967416725	27.0	27.0	27.0
31.03945323591969	27.0	27.0	27.0
31.139580504422657	28.0	28.0	28.0
31.239707772925623	28.0	28.0	28.0
31.33983504142859	29.0	29.0	29.0
31.43996230993156	29.0	29.0	29.0
31.540089578434525	29.0	29.0	29.0
31.64021684693749	29.0	29.0	29.0
31.740344115440458	28.0	28.0	28.0
31.840471383943424	28.0	28.0	28.0
31.94059865244639	29.0	29.0	29.0
32.040725920949356	29.0	29.0	29.0
32.14085318945232	30.0	30.0	30.0
32.24098045795529	31.0	31.0	31.0
32.341107726458254	30.0	30.0	30.0
32.44123499496123	29.0	29.0	29.0
32.541362263464194	29.0	29.0	29.0
32.64148953196716	30.0	30.0	30.0
32.741616800470126	30.0	30.0	30.0
32.84174406897309	30.0	30.0	30.0
32.94187133747606	30.0	30.0	30.0
33.041998605979025	29.0	29.0	29.0
33.14212587448199	30.0	30.0	30.0
33.24225314298496	28.0	28.0	28.0
33.34238041148792	28.0	28.0	28.0
33.44250767999089	29.0	29.0	29.0
33.542634948493856	29.0	29.0	29.0
33.64276221699683	29.0	29.0	29.0
33.742889485499795	28.0	28.0	28.0
33.84301675400276	28.0	28.0	28.0
33.94314402250573	29.0	29.0	29.0
34.04327129100869	30.0	30.0	30.0
34.14339855951166	30.0	30.0	30.0
34.243525828014626	30.0	30.0	30.0
34.34365309651759	30.0	30.0	30.0
34.44378036502056	30.0	30.0	30.0
34.543907633523524	32.0	32.0	32.0
34.64403490202649	33.0	33.0	33.0
34.74416217052946	32.0	32.0	32.0
34.84428943903243	32.0	32.0	32.0
34.944416707535396	32.0	32.0	32.0
35.04454397603836	33.0	33.0	33.0
35.14467124454133	33.0	33.0	33.0
35.244798513044294	35.0	35.0	35.0
35.34492578154726	34.0	34.0	34.0
35.44505305005023	34.0	34.0	34.0
35.54518031855319	34.0	34.0	34.0
35.64530758705616	35.0	35.0	35.0
35.745434855559125	35.0	35.0	35.0
35.84556212406209	35.0	35.0	35.0
35.94568939256506	35.0	35.0	35.0
36.04581666106803	36.0	36.0	36.0
36.145943929571	36.0	36.0	36.0
36.24607119807396	37.0	37.0	37.0
36.34619846657693	36.0	36.0	36.0
36.446325735079895	37.0	37.0	37.0
36.54645300358286	38.0	38.0	38.0
36.64658027208583	37.0	37.0	37.0
36.746707540588794	36.0	36.0	36.0
36.84683480909176	35.0	35.0	35.0
36.946962077594726	34.0	34.0	34.0
37.04708934609769	34.0	34.0	34.0
37.14721661460066	34.0	34.0	34.0
37.24734388310363	34.0	34.0	34.0
37.3474711516066	34.0	34.0	34.0
37.447598420109564	34.0	34.0	34.0
37.54772568861253	34.0	34.0	34.0
37.6478529571155	35.0	35.0	35.0
37.74798022561846	37.0	37.0	37.0
37.84810749412143	36.0	36.0	36.0
37.948234762624395	36.0	36.0	36.0
38.04836203112736	35.0	35.0	35.0
38.14848929963033	37.0	37.0	37.0
38.24861656813329	37.0	37.0	37.0
38.34874383663626	37.0	37.0	37.0
38.44887110513923	37.0	37.0	37.0
38.5489983736422	38.0	38.0	38.0
38.649125642145165	38.0	38.0	38.0
38.74925291064813	38.0	38.0	38.0
38.8493801791511	38.0	38.0	38.0
38.949507447654064	37.0	37.0	37.0
39.04963471615703	37.0	37.0	37.0
39.149761984659996	38.0	38.0	38.0
39.24988925316296	37.0	37.0	37.0
39.35001652166593	35.0	35.0	35.0
39.450143790168894	36.0	36.0	36.0
39.55027105867186	36.0	36.0	36.0
39.65039832717483	36.0	36.0	36.0
39.7505255956778	36.0	36.0	36.0
39.850652864180766	35.0	35.0	35.0
39.95078013268373	35.0	35.0	35.0
40.0509074011867	34.0	34.0	34.0
40.151034669689665	35.0	35.0	35.0
40.25116193819263	35.0	35.0	35.0
40.3512892066956	35.0	35.0	35.0
40.45141647519856	34.0	34.0	34.0
40.55154374370153	35.0	35.0	35.0
40.651671012204496	36.0	36.0	36.0
40.75179828070746	35.0	35.0	35.0
40.85192554921043	35.0	35.0	35.0
40.9520528177134	35.0	35.0	35.0
41.05218008621637	35.0	35.0	35.0
41.15230735471933	35.0	35.0	35.0
41.2524346232223	36.0	36.0	36.0
41.352561891725266	37.0	37.0	37.0
41.45268916022823	37.0	37.0	37.0
41.5528164287312	36.0	36.0	36.0
41.652943697234164	36.0	36.0	36.0
41.75307096573713	36.0	36.0	36.0
41.8531982342401	35.0	35.0	35.0
41.95332550274306	35.0	35.0	35.0
42.05345277124603	36.0	36.0	36.0
42.153580039749	36.0	36.0	36.0
42.25370730825197	36.0	36.0	36.0
42.353834576754934	37.0	37.0	37.0
42.4539618452579	38.0	38.0	38.0
42.55408911376087	40.0	40.0	40.0
42.65421638226383	40.0	40.0	40.0
42.7543436507668	40.0	40.0	40.0
42.854470919269765	39.0	39.0	39.0
42.95459818777273	38.0	38.0	38.0
43.0547254562757	38.0	38.0	38.0
43.154852724778664	39.0	39.0	39.0
43.25497999328163	39.0	39.0	39.0
43.3551072617846	38.0	38.0	38.0
43.45523453028757	37.0	37.0	37.0
43.555361798790535	37.0	37.0	37.0
43.6554890672935	38.0	38.0	38.0
43.75561633579647	39.0	39.0	39.0
43.855743604299434	40.0	40.0	40.0
43.9558708728024	39.0	39.0	39.0
44.055998141305366	39.0	39.0	39.0
44.15612540980833	39.0	39.0	39.0
44.2562526783113	37.0	37.0	37.0
44.356379946814265	37.0	37.0	37.0
44.45650721531723	37.0	37.0	37.0
44.556634483820204	37.0	37.0	37.0
44.65676175232317	36.0	36.0	36.0
44.75688902082614	37.0	37.0	37.0
44.8570162893291	36.0	36.0	36.0
44.95714355783207	36.0	36.0	36.0
45.057270826335035	36.0	36.0	36.0
45.157398094838	36.0	36.0	36.0
45.25752536334097	35.0	35.0	35.0
45.35765263184393	35.0	35.0	35.0
45.4577799003469	34.0	34.0	34.0
45.557907168849866	33.0	33.0	33.0
45.65803443735283	33.0	33.0	33.0
45.7581617058558	34.0	34.0	34.0
45.85828897435877	34.0	34.0	34.0
45.95841624286174	34.0	34.0	34.0
46.058543511364704	35.0	35.0	35.0
46.15867077986767	35.0	35.0	35.0
46.258798048370636	35.0	35.0	35.0
46.3589253168736	36.0	36.0	36.0
46.45905258537657	36.0	36.0	36.0
46.559179853879535	36.0	36.0	36.0
46.6593071223825	36.0	36.0	36.0
46.75943439088547	37.0	37.0	37.0
46.85956165938843	37.0	37.0	37.0
46.9596889278914	37.0	37.0	37.0
47.05981619639437	37.0	37.0	37.0
47.15994346489734	37.0	37.0	37.0
47.260070733400305	37.0	37.0	37.0
47.36019800190327	37.0	37.0	37.0
47.46032527040624	37.0	37.0	37.0
47.5604525389092	37.0	37.0	37.0
47.66057980741217	36.0	36.0	36.0
47.760707075915136	34.0	34.0	34.0
47.8608343444181	34.0	34.0	34.0
47.96096161292107	33.0	33.0	33.0
48.061088881424034	34.0	34.0	34.0
48.161216149927	33.0	33.0	33.0
48.26134341842997	33.0	33.0	33.0
48.36147068693294	33.0	33.0	33.0
48.461597955435906	31.0	31.0	31.0
48.56172522393887	31.0	31.0	31.0
48.66185249244184	31.0	31.0	31.0
48.761979760944804	31.0	31.0	31.0
48.86210702944777	31.0	31.0	31.0
48.96223429795074	30.0	30.0	30.0
49.0623615664537	30.0	30.0	30.0
49.16248883495667	30.0	30.0	30.0
49.262616103459635	30.0	30.0	30.0
49.3627433719626	30.0	30.0	30.0
49.462870640465574	30.0	30.0	30.0
49.56299790896854	30.0	30.0	30.0
49.66312517747151	31.0	31.0	31.0
49.76325244597447	30.0	30.0	30.0
49.86337971447744	30.0	30.0	30.0
49.963506982980405	30.0	30.0	30.0
50.06363425148337	29.0	29.0	29.0
50.16376151998634	29.0	29.0	29.0
50.263888788489304	28.0	28.0	28.0
50.36401605699227	28.0	28.0	28.0
50.464143325495236	28.0	28.0	28.0
50.5642705939982	28.0	28.0	28.0
50.664397862501175	28.0	28.0	28.0
50.76452513100414	28.0	28.0	28.0
50.86465239950711	28.0	28.0	28.0
50.964779668010074	28.0	28.0	28.0
51.06490693651304	28.0	28.0	28.0
51.165034205016006	29.0	29.0	29.0
51.26516147351897	28.0	28.0	28.0
51.36528874202194	28.0	28.0	28.0
51.465416010524905	28.0	28.0	28.0
51.56554327902787	27.0	27.0	27.0
51.66567054753084	26.0	26.0	26.0
51.7657978160338	26.0	26.0	26.0
51.86592508453677	26.0	26.0	26.0
51.96605235303974	26.0	26.0	26.0
52.06617962154271	25.0	25.0	25.0
52.166306890045675	25.0	25.0	25.0
52.26643415854864	25.0	25.0	25.0
52.36656142705161	25.0	25.0	25.0
52.46668869555457	25.0	25.0	25.0
52.56681596405754	25.0	25.0	25.0
52.666943232560506	25.0	25.0	25.0
52.76707050106347	25.0	25.0	25.0
52.86719776956644	25.0	25.0	25.0
52.967325038069404	24.0	24.0	24.0
53.06745230657237	24.0	24.0	24.0
53.167579575075344	24.0	24.0	24.0
53.26770684357831	24.0	24.0	24.0
53.367834112081276	24.0	24.0	24.0
53.46796138058424	24.0	24.0	24.0
53.56808864908721	25.0	25.0	25.0
53.668215917590175	25.0	25.0	25.0
53.76834318609314	26.0	26.0	26.0
53.86847045459611	27.0	27.0	27.0
53.96859772309907	27.0	27.0	27.0
54.06872499160204	28.0	28.0	28.0
54.168852260105005	28.0	28.0	28.0
54.26897952860797	28.0	28.0	28.0
54.369106797110945	27.0	27.0	27.0
54.46923406561391	28.0	28.0	28.0
54.56936133411688	29.0	29.0	29.0
54.66948860261984	29.0	29.0	29.0
54.76961587112281	29.0	29.0	29.0
54.869743139625776	29.0	29.0	29.0
54.96987040812874	29.0	29.0	29.0
55.06999767663171	29.0	29.0	29.0
55.170124945134674	29.0	29.0	29.0
55.27025221363764	29.0	29.0	29.0
55.370379482140606	29.0	29.0	29.0
55.47050675064357	29.0	29.0	29.0
55.570634019146546	29.0	29.0	29.0
55.67076128764951	29.0	29.0	29.0
55.77088855615248	28.0	28.0	28.0
55.871015824655444	29.0	29.0	29.0
55.97114309315841	30.0	30.0	30.0
