it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
127000.0	-2836.4236728500746	-2835.8198510709226	-0.6038217791519538	-1494.891216531618	-1340.9286345393043	0.1598130046874289	0.156662243418722	-0.15625172790542985	0.6643932874074865	2.134730224557364	0.1661270876019261	1.0	
128000.0	-2835.76628749609	-2834.4747247541654	-1.2915627419249138	-1492.5626430369848	-1341.9120817171804	0.1738536641467668	0.15607658231976404	0.059437397455930255	0.4556952460653217	0.8171765891507631	0.1353496572600222	1.0	
129000.0	-2837.365594929428	-2837.60431931518	0.23872438575209032	-1493.888386993311	-1343.7159323218689	0.1847921183373673	0.14836620009144716	0.04359951803696894	0.24130167292891613	1.0160199914273644	0.05138875093317427	1.0	
130000.0	-2838.035226063822	-2836.1155438922005	-1.9196821716212313	-1492.7825140594753	-1343.333029832725	0.1752753961404036	0.1436490881182175	0.2681280639157384	0.2953034866671055	0.5445674760600147	0.16892283278519873	1.0	
131000.0	-2835.4934363324346	-2833.601429225343	-1.89200710709162	-1493.0066446963972	-1340.5947845289456	0.17683800066626926	0.1541668632675843	-0.015274458698451725	0.7402787762770489	1.2506659721706355	0.12781592849386286	1.0	
132000.0	-2836.424904639078	-2836.2440947699274	-0.1808098691504818	-1493.3243825080285	-1342.919712261899	0.1760059934759902	0.14722334959946531	0.3612013267286279	0.3083092461163735	1.778206277649957	0.0741027948360953	1.0	
133000.0	-2838.9802986471122	-2838.0913687466073	-0.888929900505127	-1495.0880495136041	-1343.0033192330034	0.1577979322665241	0.16175121152155808	0.22409863795748958	0.44798258415719483	1.8533813565084378	0.5958872968059844	1.0	
134000.0	-2836.2676486973587	-2833.420953535073	-2.846695162285677	-1492.7777835926445	-1340.6431699424281	0.16747264710483337	0.14766769342745037	0.08239476999395436	0.83035239021403	0.875248385399183	0.14535581557504107	1.0	
135000.0	-2834.7546338234365	-2833.5464413178415	-1.2081925055949148	-1492.706044088379	-1340.8403972294627	0.1736592989197833	0.15591197910350785	0.25145565544941556	0.6635051058540515	1.5552909742119496	0.15991568508045412	1.0	
136000.0	-2837.477091622849	-2835.099525186006	-2.3775664368431753	-1494.5348786297445	-1340.5646465562613	0.1715225868971192	0.15250181863844384	-0.2326423477876863	0.6646948317972364	1.6130574186528044	0.06761972320256267	1.0	
137000.0	-2837.997895489915	-2833.870363219472	-4.127532270443432	-1493.2283045147678	-1340.6420587047041	0.16932891887556528	0.15369782737504176	-0.08476453821299859	0.6611337371005785	0.5155990046271194	1.9866145808269684	1.0	
138000.0	-2836.26006429031	-2834.4710180907114	-1.7890461995985834	-1492.5145014186492	-1341.9565166720624	0.17292677118692013	0.1467467469301192	0.17854800166460352	0.4077073791302405	1.8210330818749316	0.02276981417457714	1.0	
139000.0	-2836.2784682492907	-2834.0812590080923	-2.19720924119822	-1493.0311998526672	-1341.050059155425	0.1813566990393659	0.14277051894803625	0.15917361832083018	0.7512329428626716	1.3816482977825113	0.10477889614638436	1.0	
140000.0	-2835.3259704075585	-2833.4471072434258	-1.878863164132806	-1492.9860446750108	-1340.461062568415	0.1795863547607471	0.15144159829904646	0.2567657061694083	0.7197911608932752	1.1405170911899407	0.5421464973524555	1.0	
