it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
51000	-2823.611306961226	-2820.486888407964	-3.124418553262004	-1487.6408730591013	-1332.8460153488631	0.16416450877513522	0.11477799733917482	-0.5866350367488853	-1.3758391814174322	1.1291476583372462	0.7342044761696406	1.0
52000	-2820.6033518804816	-2817.460245488658	-3.1431063918235376	-1487.8229631803335	-1329.6372823083248	0.16391320629548553	0.13182666490120057	-0.5160634785739284	-1.4502070266712725	2.688718854190562	0.3291328895526253	1.0
53000	-2821.5602802558265	-2817.8255755121127	-3.734704743713695	-1488.0912073674567	-1329.734368144656	0.1707268804719107	0.13643791717826637	-0.46809114604592733	-1.1561389439850074	0.9650041971449954	0.27628824994682455	1.0
54000	-2821.3244919489794	-2817.822287931452	-3.502204017527355	-1488.0063633189557	-1329.8159246124965	0.1632126196030061	0.13682221411650564	-0.4810220035275273	-1.325924866544973	3.564253625010811	0.2122365833945874	1.0
55000	-2820.9640788566576	-2819.3984733362413	-1.5656055204164732	-1489.6497901920886	-1329.7486831441524	0.1574453488505334	0.12528607190216254	-0.3646282698026174	-1.4816051944659718	3.775224114689308	2.1986016988060806	1.0
56000	-2824.5258231257008	-2822.073695976839	-2.452127148861393	-1488.9310689903123	-1333.1426269865267	0.1569571825902693	0.14951780427750153	-0.9460842455423125	-0.8612593123000858	1.5820791739598534	1.8145233959567326	1.0
57000	-2820.122630278718	-2817.79731314604	-2.325317132678086	-1487.6953097825271	-1330.1020033635127	0.16392559545421573	0.13542762738833058	-0.5602394359129542	-1.451679011105063	1.9350723795904394	0.9322082327031149	1.0
58000	-2822.9903896762985	-2819.939770610663	-3.0506190656358165	-1487.6348095658627	-1332.3049610448002	0.16376317390563752	0.14545712016681128	-0.5983611899391116	-1.3660268001965796	1.5576638811825017	0.467794748283042	1.0
59000	-2822.447229324137	-2817.88772952388	-4.559499800257109	-1488.1657903239825	-1329.7219391998972	0.16168007268159715	0.1319880216980452	-0.8421184190547938	-1.4671157539143422	0.7870114443957857	0.5473153559915629	1.0
60000	-2821.7423895086868	-2818.180566726719	-3.5618227819677313	-1488.5493399442191	-1329.6312267824997	0.15708445615803512	0.1262606175122785	-0.8838833263649395	-1.3299577833104643	2.3336855069772198	0.3297036362055082	1.0
61000	-2822.0654398227457	-2817.867128094377	-4.198311728368478	-1488.026762191654	-1329.840365902723	0.15903483522242537	0.12822416653516244	-0.7896518355695188	-1.1834851454492863	1.260148841658415	0.2678837408980079	1.0
62000	-2820.65147277002	-2817.7539801468965	-2.8974926231236653	-1487.9792259438946	-1329.774754203002	0.16166505297399386	0.13352558877848955	-0.8031840839516834	-1.1148980331276295	1.275068041621224	2.0153622870043426	1.0
63000	-2823.9551103831504	-2817.465465509093	-6.4896448740575945	-1487.9973458320183	-1329.4681196770748	0.16545629792457484	0.1279175405576088	-0.7831857800786206	-1.4116732303029964	1.3521905589289442	0.20174034646651207	1.0
64000	-2820.4381197525045	-2818.0765412315436	-2.361578520960736	-1487.9748088076822	-1330.1017324238614	0.1662124763888751	0.1390065889721538	-0.4616192401924296	-1.107448585057718	2.3624627745432334	0.2461812629934742	1.0
65000	-2821.394523661984	-2818.6276730815302	-2.7668505804534544	-1489.2724323425796	-1329.3552407389507	0.1612465805369731	0.13093830825545139	-0.3313428669597452	-1.3435664066594661	1.5078228827852047	2.5425264858421928	1.0
66000	-2822.3194141514127	-2819.8944948301146	-2.424919321298315	-1490.5116035663057	-1329.382891263809	0.17168011980728695	0.1299751260386653	-0.96448458927699	-1.3786161179789875	2.0056355570933144	1.7985677661307284	1.0
67000	-2822.097540672765	-2820.6457642648074	-1.4517764079573923	-1490.5517089475693	-1330.0940553172381	0.18294364488958778	0.13724028510663058	-0.3490487435589769	-1.06257456976107	2.278508824693851	0.6028768910984544	1.0
68000	-2820.2384803032037	-2817.9293015906724	-2.3091787125315166	-1488.2121996275719	-1329.7171019631005	0.1680846776819495	0.13373213682575988	-0.4133277680544718	-1.1284685198133533	2.2590114179352003	3.327947880616638	1.0
69000	-2821.6744995968625	-2819.170117393349	-2.504382203513672	-1487.8815768969018	-1331.2885404964472	0.16178735903266384	0.1447520765907566	-0.5377544628426952	-1.031011254464734	1.2343371333388702	0.4453468751818037	1.0
70000	-2819.568533344878	-2818.093455040177	-1.4750783047008993	-1488.496414736286	-1329.5970403038914	0.16555662874230404	0.1345921319474719	-0.3752870677095686	-1.355862471100079	3.269886057260693	0.7661992091402263	1.0
71000	-2824.294297287307	-2821.4226396065983	-2.871657680708731	-1489.6077411103602	-1331.8148984962381	0.17890209858200473	0.14536467309809853	-0.6443726845567014	-1.2938447498141024	1.2829149572660399	0.7304055563502162	1.0
