occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
515932;occ;NA;NA;52204;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
516185;occ;NA;NA;52205;Nucleolaria cowlitziana;NA;species;300491;Bartonian;;41.03;37.71
516789;occ;NA;NA;52344;Cypraeorbis alabamensis;NA;species;341802;Lutetian;;48.07;41.03
517380;occ;NA;NA;52429;Cypraea;NA;genus;9724;Ypresian;;56;48.07
517961;occ;NA;NA;52528;Cypraeorbis boggsi;NA;species;146839;Bartonian;;41.03;37.71
533884;occ;NA;NA;55237;Cypraea;NA;genus;9724;Chattian;;27.03;23.04
535014;occ;NA;NA;55375;Lyncina camelopardalis;NA;species;342007;Pleistocene;Holocene;2.58;0
535087;occ;NA;NA;55380;Erronea caurica;NA;species;60027;Pleistocene;Holocene;2.58;0
535088;occ;NA;NA;55380;Erosaria erosa;NA;species;115607;Pleistocene;Holocene;2.58;0
535098;occ;NA;NA;55381;Lyncina carneola;NA;species;60026;Pleistocene;Holocene;2.58;0
535142;occ;NA;NA;55373;Erronea caurica;NA;species;60027;Pleistocene;Holocene;2.58;0
535143;occ;NA;NA;55373;Erosaria ocellata;NA;species;335946;Pleistocene;Holocene;2.58;0
535181;occ;NA;NA;55374;Pustularia cicercula;NA;species;170606;Pleistocene;Holocene;2.58;0
535678;occ;NA;NA;55401;Cypraea (Mauritia) histrio;NA;species;305620;Pleistocene;;2.58;0.0117
535795;occ;NA;NA;55403;Mauritia arabica;NA;species;60023;Pleistocene;;2.58;0.0117
535935;occ;NA;NA;55431;Cypraea;NA;genus;9724;Priabonian;;37.71;33.9
541784;occ;NA;NA;56687;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
541785;occ;NA;NA;56687;Pedicularia;NA;genus;10252;Messinian;;7.246;5.333
561495;occ;NA;NA;58522;Luria isabella;NA;species;60036;Late Pliocene;;3.6;2.58
561496;occ;NA;NA;58522;Pseudozonaria raymondrobertsi;NA;species;335320;Late Pliocene;;3.6;2.58
562266;occ;NA;NA;58649;Propustularia caribaea;NA;species;71690;Early Miocene;;23.04;15.98
562617;occ;NA;NA;58676;Macrocypraea zebra;NA;species;109181;Middle Miocene;;15.98;11.63
562638;occ;NA;NA;58674;Macrocypraea zebra;NA;species;109181;Middle Miocene;;15.98;11.63
563229;occ;NA;NA;58815;Muracypraea henekeni;NA;species;161733;Early Pliocene;;5.333;3.6
563230;occ;NA;NA;58815;Cypraeorbis noveli;NA;species;109030;Early Pliocene;;5.333;3.6
563231;occ;22339;NA;58815;Erosaria acicularis;NA;species;167365;Early Pliocene;;5.333;3.6
563232;occ;NA;NA;58815;Zonaria spurcoides;NA;species;109032;Early Pliocene;;5.333;3.6
563233;occ;NA;NA;58815;Luria (Basilitrona) patrespatriae;NA;species;109033;Early Pliocene;;5.333;3.6
563667;occ;NA;NA;58821;Zonaria spurcoides;NA;species;109032;Early Pliocene;;5.333;3.6
563668;occ;NA;NA;58821;Luria dominicensis;NA;species;109034;Early Pliocene;;5.333;3.6
563713;occ;NA;NA;58822;Muracypraea henekeni;NA;species;161733;Early Pliocene;;5.333;3.6
563769;occ;NA;NA;58824;Muracypraea henekeni;NA;species;161733;Late Miocene;;11.63;5.333
564045;occ;NA;NA;58867;Muracypraea henekeni;NA;species;161733;Late Miocene;;11.63;5.333
564114;occ;NA;NA;58869;Muracypraea henekeni;NA;species;161733;Late Miocene;;11.63;5.333
564115;occ;22340;NA;58869;Erosaria acicularis;NA;species;167365;Late Miocene;;11.63;5.333
565033;occ;NA;NA;59001;Muracypraea angustirima;NA;species;71940;Early Miocene;;23.04;15.98
567076;occ;NA;NA;59330;Akleistostoma carolinensis;NA;species;335331;Early Pliocene;Late Pliocene;5.333;2.58
567077;occ;NA;NA;59327;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
567078;occ;NA;NA;59308;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
567079;occ;NA;NA;59307;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
567080;occ;NA;NA;59309;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
567081;occ;NA;NA;59310;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
567683;occ;NA;NA;59484;Akleistostoma carolinensis;NA;species;335331;Late Pliocene;;3.6;2.58
572464;occ;NA;NA;60113;Luria dominicensis;NA;species;109034;Late Miocene;;11.63;5.333
575142;occ;NA;NA;60144;Luria isabella;NA;species;60036;Burdigalian;;20.45;15.98
576290;occ;27650;NA;60640;Muracypraea woodringi;NA;species;187675;Late Miocene;;11.63;5.333
576532;occ;NA;NA;60662;Pseudozonaria telembiensis;NA;species;164291;Late Miocene;;11.63;5.333
577463;occ;27651;NA;60754;Muracypraea woodringi;NA;species;187675;Middle Miocene;;15.98;11.63
578274;occ;NA;NA;60881;Luria lurida;NA;species;115680;Pleistocene;;2.58;0.0117
578291;occ;NA;NA;60880;Luria lurida;NA;species;115680;Pleistocene;;2.58;0.0117
578347;occ;NA;NA;60886;Macrocypraea zebra;NA;species;109181;Pleistocene;;2.58;0.0117
579235;occ;NA;NA;60979;Cypraea pennae;NA;species;335327;Early Miocene;;23.04;15.98
579403;occ;NA;NA;60980;Cypraea pennae;NA;species;335327;Early Miocene;;23.04;15.98
579598;occ;NA;NA;60985;Zonaria tumulus;NA;species;249757;Chattian;Aquitanian;27.03;20.45
580350;occ;NA;NA;61051;Zonaria tumulus;NA;species;249757;Chattian;Aquitanian;27.03;20.45
580535;occ;27644;NA;61086;Muracypraea woodringi;NA;species;187675;Middle Miocene;;15.98;11.63
580536;occ;NA;NA;61086;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
580581;occ;NA;NA;61096;Zonaria tumulus;NA;species;249757;Chattian;Aquitanian;27.03;20.45
580634;occ;NA;NA;61100;Zonaria tumulus;NA;species;249757;Chattian;Aquitanian;27.03;20.45
