it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
89000	-2748.0400282666756	-75.8428847493457	-2672.19714351733	6	6	2.622159354488082	147.7878483103789	0.0	3256.3355761243356
90000	-2745.6507618314604	-75.25302337031434	-2670.397738461146	6	6	5.611273604158395	147.7878483103789	0.0	3256.3355761243356
91000	-2753.0037571811445	-83.22110612797368	-2669.782651053171	7	6	5.675030965211397	147.7878483103789	0.0	3256.3355761243356
92000	-2752.417675614869	-75.75653300402402	-2676.661142610845	6	6	5.07419259288558	147.7878483103789	0.0	3256.3355761243356
93000	-2745.167936250257	-68.1812530626544	-2676.9866831876025	6	5	4.807424721246582	147.7878483103789	0.0	3256.3355761243356
94000	-2743.570521731714	-67.90125026635386	-2675.66927146536	6	5	1.9575052185947106	147.7878483103789	0.0	3256.3355761243356
95000	-2746.485245351809	-67.92101952744055	-2678.564225824369	6	5	4.029482623246359	147.7878483103789	0.0	3256.3355761243356
96000	-2743.831367208831	-73.71037740979494	-2670.120989799036	6	6	5.911335949866971	147.7878483103789	0.0	3256.3355761243356
97000	-2746.4345343191103	-84.8989130933634	-2661.535621225747	7	6	3.4959181861280886	147.7878483103789	0.0	3256.3355761243356
98000	-2748.0225657315887	-80.82954083870192	-2667.1930248928866	7	6	3.9244359909025652	147.7878483103789	0.0	3256.3355761243356
99000	-2739.4151521078497	-75.34518526956028	-2664.0699668382895	6	6	4.839289503641756	147.7878483103789	0.0	3256.3355761243356
100000	-2745.09128451416	-78.0331003712246	-2667.0581841429357	6	6	3.2110174433206056	147.7878483103789	0.0	3256.3355761243356
101000	-2736.9374473499247	-76.25973600286224	-2660.6777113470625	6	6	7.184786570708441	147.7878483103789	0.0	3256.3355761243356
102000	-2740.399669563086	-77.01433835910406	-2663.385331203982	6	6	5.14737041282151	147.7878483103789	0.0	3256.3355761243356
103000	-2749.7689355415064	-75.3990174104137	-2674.3699181310926	6	6	3.0764713062780302	147.7878483103789	0.0	3256.3355761243356
104000	-2746.8390798335067	-69.47387878889724	-2677.3652010446094	6	5	6.364106254453046	147.7878483103789	0.0	3256.3355761243356
105000	-2751.1476699333098	-65.30272016867023	-2685.8449497646398	6	5	5.0382050259564	147.7878483103789	0.0	3256.3355761243356
106000	-2745.845475022844	-68.56198803559566	-2677.283486987248	6	5	3.0362419430333807	147.7878483103789	0.0	3256.3355761243356
107000	-2744.3080100959487	-70.35300490758269	-2673.955005188366	6	5	3.6988957023866753	147.7878483103789	0.0	3256.3355761243356
